Title,Release Date,Rating,Studio
When in Rome,"January 29, 2010",5.962,Touchstone Pictures
Alice in Wonderland,"March 5, 2010",6.6,Walt Disney Pictures
Waking Sleeping Beauty,"March 26, 2010",7.223,Stone Circle Pictures
The Last Song,"March 31, 2010",7.242,Touchstone Pictures
Prince of Persia: The Sands of Time,"May 28, 2010",6.278,Walt Disney Pictures
Toy Story 3,"June 18, 2010",7.795,Pixar Animation Studios
The Sorcerer's Apprentice,"July 14, 2010",6.117,Jerry Bruckheimer Films
Step Up 3D,"August 6, 2010",6.8,Touchstone Pictures
Tales from Earthsea,"August 13, 2010",6.527,Walt Disney Pictures
The Switch,"August 20, 2010",6.236,Miramax Films
The Crimson Wing: Mystery of the Flamingos,"September 7, 2010",7.3,Disneynature
You Again,"September 24, 2010",6.3,Touchstone Pictures
Secretariat,"October 8, 2010",7.4,Walt Disney Pictures
Tangled,"November 24, 2010",7.605,Walt Disney Animation Studios
The Tempest,"December 10, 2010",5.4,Touchstone Pictures
Tron: Legacy,"December 17, 2010",6.47,Walt Disney Pictures
Gnomeo & Juliet,"February 11, 2011",5.865,Touchstone Pictures
I Am Number Four,"February 18, 2011",6.177,DreamWorks Pictures
Mars Needs Moms,"March 11, 2011",6.0,Walt Disney Pictures
African Cats,"April 22, 2011",7.4,Disneynature
Prom,"April 29, 2011",6.1,Walt Disney Pictures
Pirates of the Caribbean: On Stranger Tides,"May 20, 2011",6.548,Jerry Bruckheimer Films
Cars 2,"June 24, 2011",6.112,Pixar Animation Studios
Winnie the Pooh,"July 15, 2011",6.899,Walt Disney Animation Studios
The Help,"August 10, 2011",8.204,Touchstone Pictures
Fright Night,"August 19, 2011",6.215,DreamWorks Pictures
Real Steel,"October 7, 2011",7.0,DreamWorks Pictures
The Muppets,"November 23, 2011",6.673,Walt Disney Pictures
War Horse,"December 25, 2011",7.308,Touchstone Pictures
The Secret World of Arrietty,"February 17, 2012",7.656,Walt Disney Pictures
John Carter,"March 9, 2012",6.314,
Chimpanzee,"April 20, 2012",7.0,Disneynature
The Avengers[a],"May 4, 2012",7.9,Marvel Studios
Mad Buddies,"June 22, 2012",4.3,Touchstone Pictures
Walt Disney Pictures,"June 22, 2012",0.0,Pixar Animation Studios
People Like Us,"June 29, 2012",6.8,Touchstone Pictures
The Odd Life of Timothy Green,"August 15, 2012",6.964,Walt Disney Pictures
Frankenweenie,"October 5, 2012",6.958,Tim Burton Productions
Secret of the Wings,"October 5, 2012",7.2,DisneyToon Studios
Wreck-It Ralph,"November 2, 2012",7.337,Walt Disney Animation Studios
Lincoln,"November 16, 2012",6.856,Touchstone Pictures
Oz the Great and Powerful,"March 8, 2013",5.915,Walt Disney Pictures
Wings of Life,"April 16, 2013",7.0,Disneynature
Monsters University,"June 21, 2013",7.032,Walt Disney Pictures
The Lone Ranger,"July 3, 2013",6.093,Jerry Bruckheimer Films
Planes,"August 9, 2013",5.9,Disneytoon Studios
The Fifth Estate,"October 18, 2013",6.0,Touchstone Pictures
Thor: The Dark World,"November 8, 2013",6.529,Marvel Studios
Delivery Man,"November 22, 2013",6.246,Touchstone Pictures
Frozen,"November 27, 2013",7.247,Walt Disney Pictures
Saving Mr. Banks,"December 13, 2013",7.3,Ruby Films
The Wind Rises,"February 21, 2014",7.784,Touchstone Pictures
Need for Speed,"March 14, 2014",6.408,DreamWorks Pictures
Muppets Most Wanted,"March 21, 2014",6.319,Walt Disney Pictures
The Pirate Fairy,"March 21, 2014",6.9,DisneyToon Studios
Captain America: The Winter Soldier,"April 4, 2014",7.665,Marvel Studios
Bears,"April 18, 2014",7.4,Disneynature
Million Dollar Arm,"May 16, 2014",6.748,Walt Disney Pictures
Maleficent,"May 30, 2014",7.092,Roth Films
Planes: Fire & Rescue,"July 18, 2014",6.176,Disneytoon Studios
Guardians of the Galaxy,"August 1, 2014",7.908,Marvel Studios
The Hundred-Foot Journey,"August 8, 2014",7.303,Touchstone Pictures
"Alexander and the Terrible,Horrible, No Good, Very Bad Day","October 10, 2014",6.2,Walt Disney Pictures
Big Hero 6,"November 7, 2014",7.735,Walt Disney Animation Studios
Into the Woods,"December 25, 2014",5.8,Lucamar Productions and Marc Platt Productions
Strange Magic,"January 23, 2015",7.061,Touchstone Pictures
Tinker Bell and the Legend of the NeverBeast,"January 23, 2015",7.3,Walt Disney Pictures
"McFarland, USA","February 20, 2015",7.448,Mayhem Pictures
Cinderella,"March 13, 2015",6.813,Kinberg Genre
Monkey Kingdom,"April 17, 2015",6.9,Disneynature
Avengers: Age of Ultron,"May 1, 2015",7.273,Marvel Studios
Tomorrowland,"May 22, 2015",6.264,Walt Disney Pictures
Inside Out,"June 19, 2015",7.916,Pixar Animation Studios
Ant-Man,"July 17, 2015",7.079,Marvel Studios
Schuks! Pay Back the Money!,"August 28, 2015",6.5,Touchstone Pictures
Bridge of Spies,"October 16, 2015",7.227,Touchstone Pictures
The Good Dinosaur,"November 25, 2015",6.737,Walt Disney Pictures
Star Wars: The Force Awakens,"December 18, 2015",7.283,Lucasfilm
The Finest Hours,"January 29, 2016",6.584,Walt Disney Pictures
Zootopia,"March 4, 2016",7.747,Walt Disney Animation Studios
The Jungle Book,"April 15, 2016",7.281,Fairview Entertainment
Captain America: Civil War,"May 6, 2016",7.442,Marvel Studios
Alice Through the Looking Glass,"May 27, 2016",6.6,Walt Disney Pictures
Finding Dory,"June 17, 2016",7.04,Pixar Animation Studios
The BFG[b],"July 1, 2016",6.337,Amblin Entertainment
Pete's Dragon,"August 12, 2016",6.388,Whitaker Entertainment
The Light Between Oceans,"September 2, 2016",7.073,Touchstone Pictures
Queen of Katwe,"September 23, 2016",7.254,Walt Disney Pictures
Doctor Strange,"November 4, 2016",7.423,Marvel Studios
Moana,"November 23, 2016",0.0,Walt Disney Pictures
Rogue One,"December 16, 2016",7.49,Lucasfilm
